"Title","Poster","IMDB"
"Une altercation au café","http://ia.media-imdb.com/images/M/MV5BMzZmYmZkNDYtMWUzZi00NWEwLTkyZWUtMjRhYjE0NDI1Y2VkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","3.7"
"A Terrible Night","http://ia.media-imdb.com/images/M/MV5BY2ViZjFkMjYtOTRiMC00YzIwLTliZTAtNWJjYzY2ZjZhZTExXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.9"
"Une partie de cartes","http://ia.media-imdb.com/images/M/MV5BNjdiNzZiYjMtZWUzNS00YWFlLTg3YzQtOWYyYjg4NzVlZmE4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.1"
"La voiture du potier","http://ia.media-imdb.com/images/M/MV5BMmQyNGUxNzYtZGNjNi00YjAzLTlkZGUtNzkyMjUxMzdmOTFkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","7.3"
"The Bewitched Inn","http://ia.media-imdb.com/images/M/MV5BZjlkZGJkMTYtZmQyMi00Mzk0LTkyMTItNjc1NTZkYjM0NDk0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","6.5"
"Baignade dans le torrent","http://ia.media-imdb.com/images/M/MV5BY2RlNjBjM2EtZDNkZS00YjM4LWFhZTYtYjZmYmI1ZjJkOTYxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","5.4"
"The Corbett-Fitzsimmons Fight","http://ia.media-imdb.com/images/M/MV5BMTBiNzVjZjUtN2NmZS00YjhjLWI1ZDctZDYyZTM0NTEwNGY3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.2"
"The Hallucinated Alchemist","http://ia.media-imdb.com/images/M/MV5BY2VkMzJkN2EtNzJlYi00MTM1LTkyYTctNzBkZDVhNjZhZWE5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.6"
"Le pêcheur dans le torrent","http://ia.media-imdb.com/images/M/MV5BZDZmZTdmNDItMzdlYy00MjZiLTlhMTQtMDRkNDVlYjM1NjY1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","5.4"
"Salida de misa de doce del Pilar de Zaragoza","http://ia.media-imdb.com/images/M/MV5BOGQwOTNmMjItZmE2MC00NzIwLTk5OTMtZjFhOTJlZGIwMTRhXkEyXkFqcGdeQXVyNDUzNzExOTE@._V1_SX300.jpg","4.8"
"The X-Ray Fiend","http://ia.media-imdb.com/images/M/MV5BYzQ1NDQyZjQtMzc5ZC00NjhjLWE3NzAtNWFmMDJlMGQyYzc4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","6.2"
"Výstavní párkar a lepic plakátù","http://ia.media-imdb.com/images/M/MV5BNGE4ZWNjM2MtY2M2Mi00MDkyLTljMTQtZDgzNmMxNDkwNDkyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","5.3"
"A Sea Cave Near Lisbon","http://ia.media-imdb.com/images/M/MV5BOTI3MjMyZTEtZWZjZC00MzViLTk3YmEtYjVhMjIwNWMzYTM1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","5.3"
"Le cuirassé Maine","http://ia.media-imdb.com/images/M/MV5BYWE0ZGMxNTMtNDVmNi00MThkLWE5YTQtODg3ZmE4ZjRlNmYwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","3.8"
"Ella Lola, a la Trilby","http://ia.media-imdb.com/images/M/MV5BZDgzZWZlNWQtNTE5YS00ODRmLTkyYTAtOGIyZDAzNGYwYmVhXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","4.8"
"A Trip to the Moon","http://ia.media-imdb.com/images/M/MV5BZDRhMWE1ZDAtZjViMS00Nzg4LWI2YTQtYjJjZWEyZmIxM2EyXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg","7.5"
"L'affaire Dreyfus","http://ia.media-imdb.com/images/M/MV5BODg1MTc0OTc0Nl5BMl5BanBnXkFtZTgwODI1MzUwMzE@._V1_SX300.jpg","5.8"
"Cinderella","http://ia.media-imdb.com/images/M/MV5BMTgwMDY1MzM1NV5BMl5BanBnXkFtZTgwMjM1MzUwMzE@._V1_SX300.jpg","6.5"
"Cleopatra's Tomb","http://ia.media-imdb.com/images/M/MV5BOWQxODEwMDItMWMxZS00ZTA3LTg5NmYtYTRjNzlmODQzY2I5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","6.7"
"Haggard's She: The Pillar of Fire","http://ia.media-imdb.com/images/M/MV5BYjJlNWE3N2EtMWIxZi00ZjY4LWI1ZTMtZGZjYjc4ZWYyN2YxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","6.3"
"The Sign of the Cross","http://ia.media-imdb.com/images/M/MV5BMjM1NTQyNDQxOV5BMl5BanBnXkFtZTgwMTQ1MzUwMzE@._V1_SX300.jpg","6.3"
"A Turn of the Century Illusionist","http://ia.media-imdb.com/images/M/MV5BMDQ4Mjk5MmYtNDAxYi00N2VlLWEyOTItNzg0YWI5MTMwYmRjXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","6.6"
"King John","http://ia.media-imdb.com/images/M/MV5BMTgyNTM0MjA3Ml5BMl5BanBnXkFtZTcwOTY3NjgxMQ@@._V1_SX300.jpg","4.9"
"A Kiss in the Tunnel","http://ia.media-imdb.com/images/M/MV5BODllOTQyMDEtOTUzYy00OGQ0LWFiMWYtMTU3ZWFiZTVhNDQ1XkEyXkFqcGdeQXVyNDExODQzNDA@._V1_SX300.jpg","5.9"
"Attack on a China Mission","http://ia.media-imdb.com/images/M/MV5BOTU3ZGRmNjAtOWIzNC00MDI5LTkzZGMtZjZhZWI5ZmI4Zjk4XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.3"
"The Clown and the Alchemist","http://ia.media-imdb.com/images/M/MV5BZTIwNDBjYjAtZjcxYi00MzI1LTgwMTItZDhjNmE3NGI2MTIwXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.0"
"The Enchanted Drawing","http://ia.media-imdb.com/images/M/MV5BZjJlNTI2Y2EtZTVmNS00ZDI1LWFlMDUtZmYyZDc2MTExOTU0XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","7.0"
"Grandma's Reading Glass","http://ia.media-imdb.com/images/M/MV5BNGQ5MDMzYzEtNmI2OC00OTI3LWI0YmYtZmM0MDJkMmU0OGQ5XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","6.1"
"The Mystic Swing","http://ia.media-imdb.com/images/M/MV5BNzM5MDM0MTktMDY5ZC00Y2U4LTlhYjItMzk3MTg5MTNhMDFhXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","4.9"
"Uncle Josh in a Spooky Hotel","http://ia.media-imdb.com/images/M/MV5BYWRhM2FhMDItZjQ0Mi00ZDljLWIwYTktZDI2OTc5ODJkN2QxXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.3"
"Uncle Josh's Nightmare","http://ia.media-imdb.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg","5.2"
"Buffalo Bill's Wild West Parade","http://ia.media-imdb.com/images/M/MV5BYmQ2OTEyYjQtY2Y4ZS00ODk0LWE0NzAtMTlhNTQ0M2RiODJhXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","4.4"
"History of a Crime","http://ia.media-imdb.com/images/M/MV5BNDY0OTUxZGItMzM0Yi00NjgwLWIxYTgtYjVlNzdkOGU1YzAwXkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg","6.1"
"Reproduction, Coronation Ceremonies: King Edward VII","http://ia.media-imdb.com/images/M/MV5BOGQ2MzY0YWMtMzIzZi00NTJmLTgwZmMtNDc4OGJiNjAxYzRiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.3"
"Jack and the Beanstalk","http://ia.media-imdb.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg","6.2"
"Demolishing and Building Up the Star Theatre","http://ia.media-imdb.com/images/M/MV5BNWY1ZmU5OTItY2EyYy00MWZhLWJiZDUtYmQxYmY5NTVjNmU3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","6.7"
"Mephistopheles' School of Magic","http://ia.media-imdb.com/images/M/MV5BNjBiMjM4ZjEtMjViNi00NmY0LTg5NGItZDExOWY1MzhkODk3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.7"
"Uncle Josh at the Moving Picture Show","http://ia.media-imdb.com/images/M/MV5BMTU4MjgwNzU5Ml5BMl5BanBnXkFtZTcwMzExNDA3MQ@@._V1_SX300.jpg","5.5"
"A Trip to the Moon","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMDYxNzUxNl5BMl5BanBnXkFtZTgwMjgxNjkxMTE@._V1_SX300.jpg","8.2"
"Alice in Wonderland","http://ia.media-imdb.com/images/M/MV5BODQyZWYxZWYtNDRmZC00ZjQxLTlhZGQtM2JmZGNlYjViNGU5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg","6.3"
"The Enchanted Box","http://ia.media-imdb.com/images/M/MV5BMmU2YTJjYjEtNjQxNC00YTE3LTliOTItOWMyY2U2Y2QzNzkxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.6"
"The Great Train Robbery","https://images-na.ssl-images-amazon.com/images/M/MV5BZjE1MjdiZjgtYmYzMy00OWY2LWJiYWUtYmFhNWMyM2Y3ZDRlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg","7.3"
"La guirlande merveilleuse","http://ia.media-imdb.com/images/M/MV5BY2JlMjQwY2YtMzU2Zi00MzU5LTgxNjItMGViYTMxOGI3NGE3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.5"
"Life of an American Fireman","http://ia.media-imdb.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg","6.4"
"The Music Lover","http://ia.media-imdb.com/images/M/MV5BZDU1Mjk5YTEtOTcwYS00N2EyLTk0ODctZTExOTVmMzNjZjFlXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","6.9"
"Fairyland: A Kingdom of Fairies","https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3MTIwOTU0NV5BMl5BanBnXkFtZTgwNDM1MzUwMzE@._V1_SX300.jpg","7.3"
"Uncle Tom's Cabin","http://ia.media-imdb.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg","5.3"
"The Enchanted Trunk","http://ia.media-imdb.com/images/M/MV5BODkyZmU2NTktM2ZkZi00YTA5LTg2NmUtNTQ1ZjRhYzgzMWJmXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.2"
"The Land Beyond the Sunset","http://ia.media-imdb.com/images/M/MV5BMTMzMDcxMjgyNl5BMl5BanBnXkFtZTcwOTgxNjg4Mg@@._V1_SX300.jpg","7.1"
"The Voyage Across the Impossible","http://ia.media-imdb.com/images/M/MV5BMTYxNjExMzk5Nl5BMl5BanBnXkFtZTgwMzE5MjAwMzE@._V1_SX300.jpg","7.7"
"The Kleptomaniac","http://ia.media-imdb.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg","5.8"
"The '?' Motorist","https://images-na.ssl-images-amazon.com/images/M/MV5BZjFmZTY4OGYtNzM5My00MDA3LWE2OTItZjU4N2Y0YzE5NmU1XkEyXkFqcGdeQXVyMTI4MjY2MQ@@._V1_SX300.jpg","6.9"
"Dream of a Rarebit Fiend","http://ia.media-imdb.com/images/M/MV5BNDMxNGNkYTYtMGJhZi00MGEwLWI1NjMtODQ0MWE1YzRjYmY5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg","6.7"
"Humorous Phases of Funny Faces","http://ia.media-imdb.com/images/M/MV5BMThhNzVhZGMtNWVjOC00MmQ2LThiNWYtMDljYWU2OTYzOTVhXkEyXkFqcGdeQXVyMzY0NTAwOTk@._V1_SX300.jpg","6.2"
"The Life of a Cowboy","http://ia.media-imdb.com/images/M/MV5BMTU4MjgwNzU5Ml5BMl5BanBnXkFtZTcwMzExNDA3MQ@@._V1_SX300.jpg","5.5"
"The Night Before Christmas","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0NTQ1ODU5OF5BMl5BanBnXkFtZTcwNjU1ODAwMQ@@._V1_SX300.jpg","6.4"
"The 400 Tricks of the Devil","http://ia.media-imdb.com/images/M/MV5BOTc4NDU2NTA0N15BMl5BanBnXkFtZTgwNDQ1MzUwMzE@._V1_SX300.jpg","6.8"
